Station,DBEB,DPOB,DCUL,CVERT,CAM
C1T2P1,2617.011,2906.255,1665.988201,20,MoultrieA30
C1T2P11,2431.709,3406.078,2164.632852,53.3,Moultrie
C1T2P21,2339.669,3906.153,2645.346217,6.7,MoultrieA30
C1T4P1,2178.665,2934.467,1528.751295,6.7,Primos
C1T4P11,1957.355,3430.47,1980.711054,0,MoultrieA30
C1T4P21,1841.699,3927.158,2445.989979,53.3,Primos
C1T6P1,1751.61,3046.389,1344.882433,80,MoultrieA30
C1T6P11,1499.478,3525.945,1834.546389,66.7,Moultrie
C1T6P21,1345.182,4011.652,2328.106354,86.7,MoultrieA30
C2T1P1,2067.178,5212.637,2029.201249,33.3,Primos
C2T1P11,1596.356,5126.87,2044.276117,93.3,Moultrie
C2T1P21,1151.885,5025.27,1905.240082,0,Primos
C2T2P1,1850.796,5665.284,1529.378849,0,MoultrieA30
C2T2P11,1351.668,5630.762,1606.170363,0,Primos
C2T2P21,855.682,5527.652,1455.934159,3.3,MoultrieA30
C2T3P1,1761.465,6131.67,1028.19227,46.7,Primos
C2T3P11,1276.552,6141.867,1156.453366,6.7,Moultrie
C2T3P21,810.018,6037.517,1051.683337,46.7,Primos
C3T0P1,706.363,5604.052,665.8860638,80,Primos
C3T0P11,360.569,5321.106,708.028978,33,Moultrie
C3T0P21,499.067,5072.884,573.7246416,67,Primos
C3T1P1,345.023,5134.655,1142.245895,13.3,MoultrieA30
C3T1P11,120.111,4837.344,1191.285655,33.3,Primos
C3T1P21,107.344,4576.471,923.1344793,36.7,MoultrieA30
C3T3P1,181.025,4679.852,1633.59354,40,Primos
C3T3P11,434.236,4366.846,1498.16154,13.3,Moultrie
C3T3P21,481.051,4090.176,1119.62717,53.3,Primos
C4T1P1,3338.816,2058.136,789.2956092,20,Primos
C4T1P11,3442.177,2281,1288.272175,0,Moultrie
C4T1P21,3611.423,1829.119,1781.306603,33.3,Primos
C4T2P1,2844.655,2532.006,698.7066078,66.7,MoultrieA30
C4T2P11,2964.196,2442.099,1198.053043,0,Primos
C4T2P21,3159.913,1977.125,1697.631066,0,MoultrieA30
C4T3P1,2351.388,3015.544,624.6029293,33.3,Primos
C4T3P11,2495.701,2650.771,1091.647006,13.3,Moultrie
C4T3P21,2697.82,2231.141,1553.88074,33.3,Primos
C5T1P1,2600.282,6439.957,208.8244266,0,MoultrieA30
C5T1P11,2828.128,6934.688,711.2283926,0,Moultrie
C5T1P21,3114.479,7424.718,1208.228393,33.3,MoultrieA30
C5T2P1,2159.898,6532.223,411.9021195,6.7,Primos
C5T2P11,2436.471,7020.422,797.3633919,50,MoultrieA30
C5T2P21,2771.34,7498.785,1251.148544,33.3,Primos
C5T3P1,1745.862,6659.306,462.555518,100,MoultrieA30
C5T3P11,2082.992,7135.388,935.5591524,33.3,Moultrie
C5T3P21,2473.964,7604.733,1417.527261,60,MoultrieA30
C6T1P1,3284.413,1285.104,1173.660867,40,MoultrieA30
C6T1P11,3560.584,1740.173,1670.966229,13.3,Primos
C6T1P21,3872.953,2215.709,1741.029939,0,MoultrieA30
C6T2P1,2862.181,1133.627,1203.51053,6.7,Primos
C6T2P11,3167.23,1632.114,1691.035596,46.7,Moultrie
C6T2P21,3515.225,2131.101,1772.88488,33.3,Primos
C6T3P1,2462.462,1191.677,1184.875784,66.7,MoultrieA30
C6T3P11,2808.518,1672.871,1612.060259,13.3,Primos
C6T3P21,3194.642,2162.595,1927.292689,20,MoultrieA30
